customer_id,session_id,visit_date,device_type,user_type,marketing_channel,product_id,region,product_category,unit_price,quantity,discount_percent,discount_amount,revenue,pages_viewed,time_on_site_sec,product_view,added_to_cart,checkout,Payment,purchased,cart_abandoned,rating,payment_Method
7838,50,01-01-24,Desktop,New,Facebook,338,North,Home & Garden,1963.8,4,10,785.52,0,18,1257,1,1,1,1,0,1,4,
6993,310,01-01-24,Tablet,Returning,Facebook,869,North,Food & Grocery,850.01,4,0,0,3400.04,16,988,1,1,1,1,1,0,5,Credit Card
1891,587,01-01-24,Mobile,New,Referral ,3,North,Home & Garden,1746.8,4,15,1048.08,0,23,326,1,0,0,0,0,0,4,
5079,832,01-01-24,Desktop,Returning,Digital Advertising,168,North,Books,273.29,4,30,327.95,0,12,909,1,1,1,1,0,1,4,
7031,1131,01-01-24,Tablet,Returning,Website ,832,North,Home & Garden,1839.25,4,5,367.85,0,8,993,1,1,1,1,0,1,4,
5992,1364,01-01-24,Mobile,New,Digital Advertising,255,North,Toys,644.89,3,0,0,0,17,232,1,1,1,1,0,1,4,
3902,1403,01-01-24,Mobile,Returning,Facebook,578,North,Beauty,407.47,1,30,122.24,0,21,695,1,1,1,1,0,1,4,
9226,1506,01-01-24,Mobile,Returning,Instagram,35,North,Books,1267.33,3,20,760.4,0,22,1174,1,1,1,1,0,1,4,
3199,2686,01-01-24,Mobile,Returning,Website ,740,North,Fashion,113.04,1,0,0,113.04,1,177,1,1,1,1,1,0,5,Credit Card
2939,2838,01-01-24,Desktop,Returning,Email ,485,North,Electronics,457.47,2,15,137.24,777.7,19,415,1,1,1,1,1,0,4,Credit Card
8399,2983,01-01-24,Tablet,New,Website ,435,North,Toys,1419.98,4,0,0,5679.92,20,688,1,1,1,1,1,0,3,Credit Card
7470,3092,01-01-24,Desktop,Returning,Facebook,705,North,Home & Garden,1441.24,2,0,0,0,2,1658,1,1,0,0,0,1,4,Credit Card
2269,3513,01-01-24,Mobile,Returning,Facebook,792,North,Toys,1835.82,3,15,826.12,0,18,848,1,1,0,0,0,1,4,Credit Card
2607,3823,01-01-24,Tablet,Returning,Digital Advertising,566,South,Books,1731.83,4,0,0,6927.32,13,829,1,1,1,1,1,0,4,Credit Card
8207,4004,01-01-24,Mobile,Returning,Referral ,32,North,Electronics,304.69,2,10,60.94,0,16,469,1,0,0,0,0,0,4,
6316,4546,01-01-24,Mobile,New,Website ,171,North,Fashion,270.78,4,15,162.47,0,24,1630,1,1,0,0,0,1,4,
1109,5437,01-01-24,Desktop,Returning,Referral ,472,North,Toys,908.71,4,0,0,0,2,1654,1,1,0,0,0,1,4,
1858,6419,01-01-24,Desktop,New,Referral ,638,North,Food & Grocery,605.13,4,20,484.1,0,24,734,1,0,0,0,0,0,4,
2187,6464,01-01-24,Mobile,Returning,Facebook,761,North,Fashion,210.44,1,10,21.04,0,24,1424,1,1,0,0,0,1,4,
8311,6811,01-01-24,Mobile,Returning,Digital Advertising,152,South,Sports,604.19,2,0,0,1208.38,14,100,1,1,1,1,1,0,1,Debit Card
8746,6841,01-01-24,Desktop,New,Digital Advertising,680,North,Sports,918.89,1,10,91.89,0,23,1686,1,1,0,0,0,1,4,
6056,6871,01-01-24,Desktop,New,Referral ,32,North,Beauty,151.77,3,10,45.53,0,16,787,1,1,0,0,0,1,4,
7607,7419,01-01-24,Tablet,Returning,Digital Advertising,874,North,Home & Garden,934.75,2,10,186.95,0,23,1289,1,0,0,0,0,0,4,
7788,7427,01-01-24,Desktop,Returning,Website ,350,North,Home & Garden,1705.13,2,15,511.54,0,24,877,1,1,0,0,0,1,4,
8727,8712,01-01-24,Desktop,New,Email ,488,South,Home & Garden,1893.04,2,30,1135.82,2650.26,12,1091,1,1,1,1,1,0,3,Debit Card
1020,8837,01-01-24,Desktop,Returning,Digital Advertising,292,North,Beauty,215.48,4,0,0,0,5,1238,1,1,0,0,0,1,4,
9433,8948,01-01-24,Desktop,New,Email ,137,North,Toys,1761.27,2,10,352.25,0,12,1614,1,0,0,0,0,0,4,
7122,9160,01-01-24,Mobile,Returning,Instagram,607,South,Home & Garden,1828.7,3,5,274.3,5211.8,6,195,1,1,1,1,1,0,2,Debit Card
4553,9689,01-01-24,Mobile,New,Email ,46,North,Sports,478.33,4,15,287,0,17,1538,1,1,0,0,0,1,4,
7978,9699,01-01-24,Desktop,New,Referral ,536,South,Books,535.01,2,10,107,0,1,513,1,0,0,0,0,0,4,
6423,10117,01-01-24,Desktop,Returning,Referral ,145,South,Books,744.82,1,0,0,0,14,886,1,1,0,0,0,1,4,
4499,10734,01-01-24,Mobile,New,Email ,658,South,Electronics,706.15,1,15,105.92,0,16,58,1,0,0,0,0,0,4,
3694,10830,01-01-24,Tablet,New,Email ,595,South,Beauty,479.18,2,10,95.84,0,7,828,1,1,0,0,0,1,4,
3813,10981,01-01-24,Mobile,Returning,Referral ,414,South,Toys,545.78,3,25,409.34,0,9,938,1,1,0,0,0,1,4,
7768,11071,01-01-24,Mobile,Returning,Website ,691,South,Food & Grocery,690.73,1,15,103.61,0,11,1002,1,0,0,0,0,0,4,
2475,11246,01-01-24,Tablet,Returning,Digital Advertising,411,South,Beauty,281.99,4,0,0,0,7,329,1,0,0,0,0,0,4,
5053,12526,01-01-24,Mobile,New,Referral ,662,South,Electronics,734.42,2,25,367.21,0,18,702,1,1,0,0,0,1,4,
7613,12967,01-01-24,Desktop,New,Referral ,674,South,Electronics,754.55,3,20,452.73,0,19,465,1,0,0,0,0,0,4,
